idCommune;nomCommune;Annee;nbMaison;nbAppart;prixMoyen;prixM2Moyen;surfaceMoy;depCulturellesTotales;budgetTotal;population;departement;gare
22032;CAULNES;2018;33;0;103625.0;1267.58;87.9697;-1.0;-1.0;-1;22;Gare [codeGare=87473066, nomGare=CAULNES, estFret=false, estVoyageur=truecommune22032];
22032;CAULNES;2019;31;0;121063.0;1123.1;107.839;-1.0;-1.0;-1;22;Gare [codeGare=87473066, nomGare=CAULNES, estFret=false, estVoyageur=truecommune22032];
22032;CAULNES;2020;37;1;137384.0;1281.79;112.632;-1.0;-1.0;-1;22;Gare [codeGare=87473066, nomGare=CAULNES, estFret=false, estVoyageur=truecommune22032];
22032;CAULNES;2021;30;5;110960.0;1329.6;91.1429;-1.0;-1.0;-1;22;Gare [codeGare=87473066, nomGare=CAULNES, estFret=false, estVoyageur=truecommune22032];
22033;CAUREL;2018;11;0;75384.1;860.0;100.364;-1.0;-1.0;-1;22;null;
22033;CAUREL;2019;9;0;97543.3;1150.22;85.2222;-1.0;-1.0;-1;22;null;
22033;CAUREL;2020;14;0;88346.6;1224.57;78.2857;-1.0;-1.0;-1;22;null;
22033;CAUREL;2021;16;0;95646.2;1271.38;77.4375;-1.0;-1.0;-1;22;null;
22034;CAVAN;2018;12;0;112042.0;1098.92;102.5;-1.0;-1.0;-1;22;null;
22034;CAVAN;2019;15;0;117300.0;1321.87;99.2;-1.0;-1.0;-1;22;null;
22034;CAVAN;2020;21;0;146813.0;1222.14;118.714;-1.0;-1.0;-1;22;null;
22034;CAVAN;2021;23;0;191028.0;1859.17;100.217;-1.0;-1.0;-1;22;null;
22035;LES CHAMPS-GERAUX;2018;14;0;142022.0;1352.64;102.286;-1.0;-1.0;-1;22;null;
22035;LES CHAMPS-GERAUX;2019;13;0;161231.0;1434.23;114.769;-1.0;-1.0;-1;22;null;
22035;LES CHAMPS-GERAUX;2020;11;0;145733.0;1604.45;95.7273;-1.0;-1.0;-1;22;null;
22035;LES CHAMPS-GERAUX;2021;23;0;142151.0;1876.39;80.087;-1.0;-1.0;-1;22;null;
22036;LA CHAPELLE-BLANCHE;2018;3;0;129333.0;1320.33;102.667;-1.0;-1.0;-1;22;null;
22036;LA CHAPELLE-BLANCHE;2019;3;0;86500.0;1331.0;59.6667;-1.0;-1.0;-1;22;null;
22036;LA CHAPELLE-BLANCHE;2020;2;0;102750.0;858.0;115.0;-1.0;-1.0;-1;22;null;
22036;LA CHAPELLE-BLANCHE;2021;1;0;187500.0;1705.0;110.0;-1.0;-1.0;-1;22;null;
22037;LA CHAPELLE-NEUVE;2018;7;0;61700.0;874.286;70.2857;-1.0;-1.0;-1;22;null;
22037;LA CHAPELLE-NEUVE;2019;7;0;55257.1;1036.43;56.5714;-1.0;-1.0;-1;22;null;
22037;LA CHAPELLE-NEUVE;2020;11;0;88581.8;967.364;94.1818;-1.0;-1.0;-1;22;null;
22037;LA CHAPELLE-NEUVE;2021;13;0;72239.2;965.231;78.5385;-1.0;-1.0;-1;22;null;
22039;LA CHEZE;2018;7;0;81000.0;810.0;101.286;-1.0;-1.0;-1;22;null;
22039;LA CHEZE;2019;7;0;84285.7;965.857;90.1429;-1.0;-1.0;-1;22;null;
22039;LA CHEZE;2020;7;0;80000.0;951.714;86.2857;-1.0;-1.0;-1;22;null;
22039;LA CHEZE;2021;12;0;114759.0;959.25;117.083;-1.0;-1.0;-1;22;null;
22040;COADOUT;2018;4;0;150000.0;1119.75;136.25;-1.0;-1.0;-1;22;null;
22040;COADOUT;2019;4;0;89500.0;822.0;111.0;-1.0;-1.0;-1;22;null;
22040;COADOUT;2020;7;0;130900.0;1323.43;88.5714;-1.0;-1.0;-1;22;null;
